date,district,commodity,min_price_rs_per_quintal,modal_price_rs_per_quintal,max_price_rs_per_quintal,avg_price_rs_per_quintal
2016-01-01,Kolar,Tomato,693.21,864.77,1049.5,871.35
2016-01-02,Kolar,Tomato,657.36,793.84,914.75,786.06
2016-01-03,Kolar,Tomato,729.11,893.41,983.59,856.35
2016-01-04,Kolar,Tomato,885.26,1003.71,1164.69,1024.97
2016-01-05,Kolar,Tomato,659.1,798.1,979.62,819.36
2016-01-06,Kolar,Tomato,663.7,803.35,960.0,811.85
2016-01-07,Kolar,Tomato,790.94,1026.19,1243.87,1017.4
2016-01-08,Kolar,Tomato,838.18,934.0,1256.38,1047.28
2016-01-09,Kolar,Tomato,622.74,790.79,939.11,780.93
2016-01-10,Kolar,Tomato,698.17,917.43,1112.89,905.53
2016-01-11,Kolar,Tomato,681.19,801.9,908.85,795.02
2016-01-12,Kolar,Tomato,677.14,806.79,897.14,787.14
2016-01-13,Kolar,Tomato,728.49,896.86,1160.41,944.45
2016-01-14,Kolar,Tomato,523.26,643.36,799.49,661.38
2016-01-15,Kolar,Tomato,582.33,671.07,865.8,724.07
2016-01-16,Kolar,Tomato,635.7,815.68,927.8,781.75
2016-01-17,Kolar,Tomato,669.33,766.67,952.94,811.14
2016-01-18,Kolar,Tomato,788.81,930.96,1083.09,935.95
2016-01-19,Kolar,Tomato,641.57,789.29,913.23,777.4
2016-01-20,Kolar,Tomato,600.73,733.76,809.25,704.99
2016-01-21,Kolar,Tomato,854.78,1084.07,1227.8,1041.29
2016-01-22,Kolar,Tomato,764.47,886.02,1043.12,903.8
2016-01-23,Kolar,Tomato,765.82,926.1,1045.77,905.79
2016-01-24,Kolar,Tomato,600.1,751.88,1012.38,806.24
2016-01-25,Kolar,Tomato,723.85,862.34,1015.11,869.48
2016-01-26,Kolar,Tomato,850.57,945.76,1071.14,960.86
2016-01-27,Kolar,Tomato,651.47,799.07,918.74,785.11
2016-01-28,Kolar,Tomato,876.53,986.97,1230.68,1053.61
2016-01-29,Kolar,Tomato,701.11,874.47,975.92,838.51
